block_address_expanded,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,total
5700 MARTIN ST LOT,,,,,,,,,,,,2,2
5700 NORTHFIELD DR,,,,,1,,,,,,1,,2
5700 OAKMONT LN,,,,,,2,,,,,,,2
5700 PIEDRA DR,1,,,1,,,,,,,,,2
5700 REMINGTON CIRCLE,,,,,1,1,,,,,,,2
5700 RIVER RIDGE CT,,,,,2,,,,,,,,2
5700 SLEEPY CREEK LN,,,,1,1,,,,,,,,2
5700 SOUTH FREEWAY,,,,,2,,,,,,,,2
5700 SPRINGTIDE DR,,,,1,1,,,,,,,,2
5700 STRATUM DR,,,,,1,1,,,,,,,2
5700 SWORDS DR,,,,,2,,,,,,,,2
5700 TABLE ROCK DR,,,,2,,,,,,,,,2
5700 W INTERSTATE 20 FREEWAY,,,,,,,,,,,2,,2
5700 WALNUT CREEK DR,,1,,,,1,,,,,,,2
5700 WELLESLEY AV,1,1,,,,,,,,,,,2
5700 WHARTON DR,,,1,1,,,,,,,,,2
5700 WHEATON DR,,,,,,2,,,,,,,2
5800 DEERFOOT TRL,,,,,1,1,,,,,,,2
5800 ELLIOTT REEDER RD,,,,,,,,,,,2,,2
5800 FAIRGLEN AV,,1,1,,,,,,,,,,2
5800 FURSMAN AV,1,1,,,,,,,,,,,2
5800 FURSMAN AVE,,,,2,,,,,,,,,2
5800 HARVESTWOOD CI,,,2,,,,,,,,,,2
5800 HEMPHILL ST,,,,,2,,,,,,,,2
5800 LOVELL AVE,,,,1,,1,,,,,,,2
5800 MARINE CREEK PK,,,,1,,1,,,,,,,2
5800 SHADYDELL DR,,,,,1,1,,,,,,,2
5800 SOUTH FW,1,1,,,,,,,,,,,2
5800 SOUTHWEST BL,,,,1,,,,,,,,1,2
5800 WHITMAN AVE,,,,1,,1,,,,,,,2
5800 YOSEMITE DR,,2,,,,,,,,,,,2
5900 BLACKMON CT,,,2,,,,,,,,,,2
5900 CALMONT AV,2,,,,,,,,,,,,2
5900 DECK HOUSE RD,,,1,1,,,,,,,,,2
5900 FLETCHER AV,,1,1,,,,,,,,,,2
5900 KRISTEN DR,,,,1,1,,,,,,,,2
5900 STONE MEADOW LN,,,,,1,1,,,,,,,2
5900 TACKETT CT,,,,,1,1,,,,,,,2
5900 WELLESLEY AVE,,,,1,1,,,,,,,,2
5900 WIMBLETON WAY,1,,,1,,,,,,,,,2
600 BRADLEY AVE,,,,1,,1,,,,,,,2
600 CHURCHILL RD,,,,,2,,,,,,,,2
600 CRANBROOK DR,,1,,,1,,,,,,,,2
600 E BERRY ST,,,,,,,,,,,2,,2
600 GRIGGS AVE,,,,,2,,,,,,,,2
600 HENDERSON ST,,,,,2,,,,,,,,2
600 KENTUCKY DERBY LN,,,,1,1,,,,,,,,2
600 LAZY CREST DR,,,,,,2,,,,,,,2
600 LOCKHEED BL,,,,1,,,,,,,,1,2
600 MAY ST,,,,,1,1,,,,,,,2
600 MONTICELLO DR,,,,,1,1,,,,,,,2
600 NORTH SOUTH FW,1,,1,,,,,,,,,,2
600 NORTHEAST LOOP INTERSTATE 820,,1,,1,,,,,,,,,2
600 S HWY US,,,,,,,,,,,,2,2
600 S JIM WRIGHT FREEWAY,,,,2,,,,,,,,,2
600 SAMUELS AVE,,,,1,,1,,,,,,,2
600 TAYLOR ST,,,,,2,,,,,,,,2
6000 ASH FLAT DR,,1,,1,,,,,,,,,2
6000 BENT TRL,,,,,,,,,,,2,,2
6000 EAST FREEWAY,,,,,,,,2,,,,,2
6000 GRANBURY RD,,,,,1,1,,,,,,,2
6000 LAKE WORTH BLVD,,,,,,,,,,,,2,2
6000 MACEO LN,,,,,1,1,,,,,,,2
6000 MOUNTAIN ROBIN CT,,,,,2,,,,,,,,2
6000 NORTH FREEWAY SERVICE ROAD,,1,,1,,,,,,,,,2
6000 OAKMONT TR,1,,1,,,,,,,,,,2
6000 SUNNYSIDE DR,,,1,,,1,,,,,,,2
6000 TRAIL LAKE DR,,,,1,1,,,,,,,,2
6000 VILLAGE COURSE CI,,,2,,,,,,,,,,2
6000 VILLAGE COURSE WAY,,,2,,,,,,,,,,2
6000 WJ BOAZ RD,,,,,,,,,,,,2,2
6000 WORMAR AVE,,,,,,2,,,,,,,2
6100 IVY HILL RD,,,,,1,1,,,,,,,2
6100 LANTANA LN,,,,1,1,,,,,,,,2
6100 MC TEXAS SHINER DR,,,,,,,,2,,,,,2
6100 PADDLEFISH DR,1,,1,,,,,,,,,,2
6100 QUAIL WOOD CT,,,,,1,1,,,,,,,2
6100 S INTERSTATE 820 FW,,1,1,,,,,,,,,,2
6100 SPRINGLEAF CIR,,,,1,1,,,,,,,,2
6100 WEST LOOP INTERSTATE 820,,,,,,2,,,,,,,2
6200 AVA COURT DR,,,,,1,1,,,,,,,2
6200 EAST LOOP INTERSTATE 820 820 SOUTH FREEWAY,,,,,,,2,,,,,,2
6200 HORTON CI,,1,1,,,,,,,,,,2
6200 MCCART AVE,,,,2,,,,,,,,,2
6200 MONTERREY DR,1,,,1,,,,,,,,,2
6200 POST OAK TE,1,1,,,,,,,,,,,2
6200 SOUTHWEST LOOP INTERSTATE 820 820 FREEWAY,,,,,,1,,1,,,,,2
6200 WHITE JADE DR,,,,,,,,,,,2,,2
6300 EAST LOOP INTERSTATE 820 820 SOUTH FREEWAY,,,,,,,1,1,,,,,2
6300 FRANWOOD TER,,,,,1,1,,,,,,,2
6300 LAMBETH LN,,,1,,,1,,,,,,,2
6300 MARK IV PK,,,,,,,,,,,2,,2
6300 MEADOWS WEST DR,,,,,,2,,,,,,,2
6300 MESA RIDGE DR,,,,1,,1,,,,,,,2
6300 NORTH HILL LN,,1,,,1,,,,,,,,2
6300 NORTHWEST LOOP INTERSTATE 820 820 FREEWAY,,,,,,,,2,,,,,2
6300 ROSEMONT AVE,,,,,,2,,,,,,,2
6300 TRUMAN DR,,,,1,,1,,,,,,,2
6300 WALRAVEN CI,,1,1,,,,,,,,,,2
6400 CRESTMORE RD,,,,,2,,,,,,,,2
6400 E INTERSTATE 820 FREEWAY S,,,,,1,1,,,,,,,2
6400 EAST FREEWAY,,,,,,,1,1,,,,,2
6400 GENEVA LN,,,,,1,1,,,,,,,2
6400 GREENBRIAR LN,,,,2,,,,,,,,,2
6400 KELLY ELLIOTT RD,,,,,2,,,,,,,,2
6400 KENWICK AVE,,,,,2,,,,,,,,2
6400 KIRKWOOD RD,,,,1,1,,,,,,,,2
6400 MCCART AV,,2,,,,,,,,,,,2
6400 MCCART AVE,,,,2,,,,,,,,,2
6400 NORTHWEST LOOP INTERSTATE 820 820 FREEWAY W,,,,,,,2,,,,,,2
6400 NORTHWEST LOOP INTERSTATE 820 820 S,,,,,2,,,,,,,,2
6400 RAMEY AVE,,,,,2,,,,,,,,2
6400 REGINA DR,,,1,,1,,,,,,,,2
6400 SHASTA TR,1,,1,,,,,,,,,,2
6400 SOUTHWEST LOOP INTERSTATE 820 820 FREEWAY,,,,,,,,2,,,,,2
6500 ARBOR LN,,,,,2,,,,,,,,2
6500 AVA COURT DR,,,,,1,1,,,,,,,2
6500 NORTHWEST LOOP INTERSTATE 820 820 S,,,,,1,1,,,,,,,2
6500 SHADYDELL DR,,,,,1,,,,,,1,,2
6500 SHOAL CREEK RD,,,,1,,1,,,,,,,2
6500 SOUTH FW,1,1,,,,,,,,,,,2
6500 TURNBERRY DR,2,,,,,,,,,,,,2
6500 VEGA DR,,1,,1,,,,,,,,,2
6600 BROOKHAVEN CT,,,,,2,,,,,,,,2
6600 CERVANTES AVE,,,,1,,1,,,,,,,2
6600 CHALK RIVER DR,,1,,,1,,,,,,,,2
6600 CROWLEY RD,,,,,2,,,,,,,,2
6600 GARY LN,,,,1,,1,,,,,,,2
6600 MCCART AVE,,,,2,,,,,,,,,2
6600 MEADOW WAY LN,,,1,1,,,,,,,,,2
6600 MONTERREY DR,,,,,2,,,,,,,,2
6600 NORTHWEST LOOP INTERSTATE 820 820 S,,,,,1,1,,,,,,,2
6600 OAK GROVE RD,,,,1,,1,,,,,,,2
6600 SOUTH FREEWAY,,,,,2,,,,,,,,2
6600 WEST FW,1,,1,,,,,,,,,,2
6600 WEST LOOP INTERSTATE 820 820 S,,,,2,,,,,,,,,2
6600 WRIGLEY WAY,1,1,,,,,,,,,,,2
6700 FRANWOOD TER,,,,1,,1,,,,,,,2
6700 HANOVER RD,,,,1,,1,,,,,,,2
6700 LONGLEAF LN,,,,,1,1,,,,,,,2
6700 OVERLAND ST,,,,,1,1,,,,,,,2
6700 RHEA RIDGE DR,,,,,2,,,,,,,,2
6700 ROUTT ST,,,,1,,1,,,,,,,2
6700 ROXANNE WAY,,1,,1,,,,,,,,,2
6700 SAVANNAH LN,,,,2,,,,,,,,,2
6700 SHERIDAN RD,,,,,2,,,,,,,,2
6700 WATERHILL LN,1,,,,1,,,,,,,,2
6700 WEST FW,2,,,,,,,,,,,,2
6800 AMBERDALE DR,,,1,,,1,,,,,,,2
6800 BEATY ST,1,1,,,,,,,,,,,2
6800 BRAEVIEW DR,,,,,,2,,,,,,,2
6800 BROOKHAVEN TRL,,,,,2,,,,,,,,2
6800 CRAIG ST,,,,,,2,,,,,,,2
6800 MULESHOE LN,,1,1,,,,,,,,,,2
6800 ROBINHOOD LN,,,,,1,1,,,,,,,2
6800 ROXANNE WAY,1,,1,,,,,,,,,,2
6800 SILVER SAGE DR,,1,,,,1,,,,,,,2
6800 WINDWILLOW DR,,,,,,2,,,,,,,2
6900 ALLEN PLACE DR,,,,1,,1,,,,,,,2
6900 AMBER DR,,,,,1,1,,,,,,,2
6900 BIG WICHITA DR,,,,1,1,,,,,,,,2
6900 CHACO TRL,,,,,2,,,,,,,,2
6900 CHASE RIDGE TR,2,,,,,,,,,,,,2
6900 CROWLEY RD,,,,,1,1,,,,,,,2
6900 DIRKS RD,1,,1,,,,,,,,,,2
6900 E LANCASTER AVE,,,,,,,,,,,2,,2
6900 MC CART AVE,,,,,,,,,,,2,,2
6900 NORTHWEST LOOP INTERSTATE 820,,,,1,1,,,,,,,,2
6900 RITTER LN,,,,,,2,,,,,,,2
6900 SUNDAY PL,1,,,,,1,,,,,,,2
6900 VALHALLA RD,,,,,,2,,,,,,,2
700 5 ALTA MERE DR SUITE,,,,,,,,,,,,2,2
700 ACADEMY BL,,,,,1,1,,,,,,,2
700 ALTAMESA BL,,,,,,1,,,,,1,,2
700 ATLANTA ST,,,,,2,,,,,,,,2
700 DEVONTREE CT,,2,,,,,,,,,,,2
700 E BUTLER ST,,,,,,,,,,,2,,2
700 EAST LOOP INTERSTATE 820 820 NORTH FREEWAY,,,,,,,,1,,,1,,2
700 KENTUCKY AVE,,,,1,,1,,,,,,,2
700 MIDDLEGLEN CT,,1,,1,,,,,,,,,2
700 MILL WATER DR,,,,,,,1,1,,,,,2
700 MONTICELLO DR,,,,2,,,,,,,,,2
700 NORTHWOOD RD,1,,,,,1,,,,,,,2
700 QUAIL WOOD LN,,1,,1,,,,,,,,,2
700 STELLA ST,,,,,2,,,,,,,,2
700 TENNESSEE AVE,,,,,2,,,,,,,,2
7000 ALLEN PLACE DR,,,1,,,1,,,,,,,2
7000 BOAT CLUB RD,,2,,,,,,,,,,,2
7000 BROOKGLEN LN,,,1,,,1,,,,,,,2
7000 EAST FREEWAY,,,,,,,,2,,,,,2
7000 GREENLEE ST,,,,,2,,,,,,,,2
7000 LINDENTREE LN,,,,,1,1,,,,,,,2
7000 LOS PADRES TRL,,,,,1,1,,,,,,,2
7000 WEST LOOP INTERSTATE 820 820 NORTH,,,,,2,,,,,,,,2
7000 WYCLIFF ST,,,,,1,1,,,,,,,2
7100 BETTIS DR,,,2,,,,,,,,,,2
7100 CALMONT AV,,,2,,,,,,,,,,2
7100 ELLIS RD,,,,,,2,,,,,,,2
7100 MESILLA LN,,,,1,,1,,,,,,,2
7100 NORTHWEST LOOP INTERSTATE 820,1,1,,,,,,,,,,,2
7100 OVERHILL RD,,,,,2,,,,,,,,2
7100 TOP RAIL RUN,,,,1,,1,,,,,,,2
7100 WAYFARER TRL,,,,,1,1,,,,,,,2
7100 WILLIS AVE,,,,1,,,,,,,1,,2
7200 EDERVILLE RD,,1,,,1,,,,,,,,2
7200 FULLER CIR,,,,,,1,,,,,1,,2
7200 GARZA AVE,,,,,2,,,,,,,,2
7200 GOLF CLUB DR,,2,,,,,,,,,,,2
7200 MEADOWBROOK DR,,,,,2,,,,,,,,2
7200 MESA VERDE TRL,,,,,1,1,,,,,,,2
7200 TAHOE SPRINGS DR,,1,,,,1,,,,,,,2
7300 EWING AVE,,,,,1,1,,,,,,,2
7300 INDIANA AV,,,2,,,,,,,,,,2
7300 MEADOW CREEK DR,,,1,,,1,,,,,,,2
7300 NATALIE DR,,,,,,2,,,,,,,2
7300 TAHOE SPRINGS DR,,2,,,,,,,,,,,2
7400 ASHCROFT CIR,,,,1,1,,,,,,,,2
7400 BUTTERNUT CT,,,,,2,,,,,,,,2
7400 CROSS RIDGE CIR,,,,1,,1,,,,,,,2
7400 EWING AV,1,1,,,,,,,,,,,2
7400 GLENEAGLES WAY,1,,1,,,,,,,,,,2
7400 KINGSWOOD CIR,,,,1,1,,,,,,,,2
7400 LITTLE ROCK LN,1,,,,1,,,,,,,,2
7400 LOVE CIR,,,,1,1,,,,,,,,2
7400 NORTHWEST LOOP INTERSTATE 820,,1,,,1,,,,,,,,2
7400 SILVER CI,,2,,,,,,,,,,,2
7400 SUNRAY DR,,,1,,,1,,,,,,,2
7400 TALLOW WIND TR,,,1,1,,,,,,,,,2
7500 AMHURST CIR,,,,2,,,,,,,,,2
7500 BOULDER CIR,,,,1,,1,,,,,,,2
7500 DIAMOND SPRINGS TRL,,,,1,,1,,,,,,,2
7500 EMERYWOOD LN,,1,1,,,,,,,,,,2
7500 FALLEN TR,,1,1,,,,,,,,,,2
7500 HAWKWOOD TRL,,,,1,1,,,,,,,,2
7500 JULIET LN,,,,,2,,,,,,,,2
7500 LAKE HIGHLANDS DR,1,,,,1,,,,,,,,2
7500 LITTLE ROCK LN,,,1,,1,,,,,,,,2
7500 NORTHWEST LOOP INTERSTATE 820,,1,,1,,,,,,,,,2
7500 NORTHWEST LOOP INTERSTATE 820 820 FREEWAY,,,,,,,2,,,,,,2
7500 PARK GATE DR,,,,1,,1,,,,,,,2
7500 PEAR TREE LN,,1,,,1,,,,,,,,2
7500 ROCK GARDEN TRL,,,,1,,1,,,,,,,2
7500 WESTWIND CT,,,,,,2,,,,,,,2
7600 BROOK MEADOW LN,,,,,1,1,,,,,,,2
7600 CASTILLO RD,,,,1,1,,,,,,,,2
7600 HONEYBEE LN,,,,,2,,,,,,,,2
7600 MAHONIA DR,,,,,1,1,,,,,,,2
7600 MCCART AVE,,,,1,,1,,,,,,,2
7600 WEST FREEWAY,,,,2,,,,,,,,,2
7700 ACAPULCO RD,,,,,,2,,,,,,,2
7700 EAST FW,,,2,,,,,,,,,,2
7700 GRASSLAND DR,,,,,,1,,,,,1,,2
7700 GREENGAGE DR,,,,1,1,,,,,,,,2
7700 INCLINE TER,,,,1,,1,,,,,,,2
7700 NORTHWEST LOOP INTERSTATE 820,,,1,1,,,,,,,,,2
7700 YELLOWLEAF CT,,1,,,,1,,,,,,,2
7800 BRIARSTONE CT,,,,1,,,,,,,1,,2
7800 CASTILLO RD,,,,,1,1,,,,,,,2
7800 CHAPIN RD,,,,1,1,,,,,,,,2
7800 CLOVERGLEN LN,,,,,1,1,,,,,,,2
7800 EDERVILLE RD,,1,,,1,,,,,,,,2
7800 EMERALD HILLS WAY,,,,,,,,,,,,2,2
7800 HOLLYBERRY CT,,1,,,,1,,,,,,,2
7800 LOWERY RD,,,1,,,1,,,,,,,2
7800 NORTH FREEWAY,,,,,2,,,,,,,,2
7800 PARK DOWNS DR,,,,,,2,,,,,,,2
7800 TEAL DR,,,,1,,1,,,,,,,2
7800 TRIMBLE DR,,,,,1,1,,,,,,,2
7900 30 EXIT COOKS,,,,,,,,,,,1,1,2
7900 BOYLSTON DR,,,,,2,,,,,,,,2
7900 CANNONWOOD DR,,,1,,,1,,,,,,,2
7900 CHAPIN RD,,,,,,2,,,,,,,2
7900 DUSTY WAY,2,,,,,,,,,,,,2
7900 E FRWY,,,2,,,,,,,,,,2
7900 FOREST HILL DR,,,,,2,,,,,,,,2
7900 GLADEWATER DR,,,,2,,,,,,,,,2
7900 HAWKWOOD TRL,,,,,,2,,,,,,,2
7900 MARGARITA DR,,,,1,,1,,,,,,,2
7900 MUSTANG CT,,,1,,,1,,,,,,,2
7900 NORTHWEST LOOP INTERSTATE 820,,2,,,,,,,,,,,2
7900 RUSHMORE RD,,,,,,2,,,,,,,2
7900 SKYLAKE DR,,,,,,2,,,,,,,2
7900 WEST FREEWAY,,,,,,2,,,,,,,2
7900 WHITEWATER CT,,,1,,1,,,,,,,,2
800 ANNAPOLIS DR,,,1,,1,,,,,,,,2
800 ARBOR HILL CT,,1,1,,,,,,,,,,2
800 BOCA HILLS CI,,1,1,,,,,,,,,,2
800 E ALLEN AVE,,,,,,,,,,,2,,2
800 E BEDDELL ST,,,,,,,,,,,2,,2
800 FIREWHEEL TRL,,,,,2,,,,,,,,2
800 HAYNES AV,,1,1,,,,,,,,,,2
800 IONA DR,,,,1,1,,,,,,,,2
800 KENTUCKY AVE,,,,,,2,,,,,,,2
800 N NORTH SOUTH FREEWAY SERVICE ROAD,2,,,,,,,,,,,,2
800 NICOLE WAY,,1,,,1,,,,,,,,2
800 NORTHEAST LOOP INTERSTATE 820,1,1,,,,,,,,,,,2
800 PENN ST,,,,,,2,,,,,,,2
800 PONCHO LN,,,,,,2,,,,,,,2
800 RIVERSIDE DR,,,,1,1,,,,,,,,2
800 W BELKNAP ST,,,,,,,,,,,1,1,2
800 W CAPPS ST,,,,,,,,,,,2,,2
800 WEST LOOP INTERSTATE 820 820 SOUTH FREEWAY,,,,,,,,2,,,,,2
8000 CEDAR LAKE LN,,,,,,2,,,,,,,2
8000 CLEAR BROOK CI,,1,1,,,,,,,,,,2
8000 CLEAR BROOK CIR,,,,,,2,,,,,,,2
8000 GILA BEND LN,1,,,1,,,,,,,,,2
8000 MEADOW VIEW TRL,,,,,,2,,,,,,,2
8000 MOSS ROCK DR,,,,,1,1,,,,,,,2
8000 ROCKDALE RD,,,,1,,1,,,,,,,2
8000 SLIDE ROCK RD,,,,,,1,,,,,1,,2
8000 SOUTHBROOK CI,1,1,,,,,,,,,,,2
8000 WATERSIDE TRL,,,,,2,,,,,,,,2
8000 WHITNEY LN,,,,,1,1,,,,,,,2
8100 ANGLIN DR,,,,,,,,,,,2,,2
8100 ARBOR AV,,2,,,,,,,,,,,2
8100 COLBI LN,,,,1,1,,,,,,,,2
8100 DAYMIST DR,,,,,,1,1,,,,,,2
8100 ISLAND PARK CT,,,,1,1,,,,,,,,2
8100 JULIE AV,2,,,,,,,,,,,,2
8100 MALAGA DR,,1,,1,,,,,,,,,2
8100 RAMBLER ROSE ST,,,,,,2,,,,,,,2
8100 RANDOL MILL RD,,,,,1,1,,,,,,,2
8100 ROYAL TERRACE LN,1,,,,1,,,,,,,,2
8100 SWEETWATER LN,2,,,,,,,,,,,,2
8100 TANNER AV,,1,1,,,,,,,,,,2
8100 WEST FW,,,1,1,,,,,,,,,2
8200 CAHOBA DR,,,,,1,,,,,,1,,2
8200 DELAFIELD DR,,,,,1,1,,,,,,,2
8200 EDGEPOINT TR,,,2,,,,,,,,,,2
8200 EDGEPOINT TRL,,,,,1,1,,,,,,,2
8200 FRENCH QUARTER LN,,,,,,2,,,,,,,2
8200 MEADOWBROOK DR,,1,,1,,,,,,,,,2
8200 MONTERRA RANCH CIR,,,,,,2,,,,,,,2
8200 WATER BUCK RU,,2,,,,,,,,,,,2
8300 AUBURN DR,,,,1,1,,,,,,,,2
8300 CALMONT AV,,2,,,,,,,,,,,2
8300 DOREEN AVE,,,,2,,,,,,,,,2
8300 L FLYTHE MI,,,,,,,,,,,2,,2
8300 MEADOWBROOK DR,,,,2,,,,,,,,,2
8300 MIAMI SPRINGS DR,,,,,,2,,,,,,,2
8300 PRAIRIE WIND TRL,,,,,,2,,,,,,,2
8300 RAIN FOREST LN,1,,,1,,,,,,,,,2
8300 RIVERSPRINGS DR,,,,,1,,,,,,1,,2
8300 ROLLING ROCK DR,1,,1,,,,,,,,,,2
8300 STORM CHASER DR,,,,,,2,,,,,,,2
8300 WATER BUCK RU,1,1,,,,,,,,,,,2
8400 EAST FW,,1,1,,,,,,,,,,2
8400 FERN LAKE CT,,,,,,2,,,,,,,2
8400 GREYLOCK CT,,,,1,,1,,,,,,,2
8400 SOUTHERN PRAIRIE DR,,,,,2,,,,,,,,2
8400 WASHITA WAY,1,1,,,,,,,,,,,2
8400 WEST FW,,2,,,,,,,,,,,2
8500 AUTUMN CREEK TRL,,,1,1,,,,,,,,,2
8500 BENBROOK BL,,,,,,2,,,,,,,2
8500 BOAT CLUB RD,,,,,2,,,,,,,,2
8500 CALMONT AV,,2,,,,,,,,,,,2
8500 EAST FREEWAY SERVICE ROAD,,,,,,,,,,,,2,2
8500 FIELD CREEK CT,,,,1,1,,,,,,,,2
8500 MARKS LN,,,,1,,1,,,,,,,2
8500 MYSTIC TRL,,,,,,2,,,,,,,2
8500 TRINITY BL,,,,2,,,,,,,,,2
8500 TRINITY VISTA TRL,,,,1,,1,,,,,,,2
8600 LARIAT CIR,,,,1,1,,,,,,,,2
8600 PRAIRIE DAWN DR,,,,,2,,,,,,,,2
8700 CREEDE TRL,,,,1,,,,,,,1,,2
8700 EAST FREEWAY,,,,,1,,1,,,,,,2
8700 HUNTERS CREEK CT,,,,,,2,,,,,,,2
8700 LAKE SPRINGS TRL,,,,,,2,,,,,,,2
8700 RUNNING RIVER LN,,,,,,2,,,,,,,2
8700 SHADOW TRACE DR,,,1,,1,,,,,,,,2
8700 WEST FW,,2,,,,,,,,,,,2
8800 ADRIANA AV,1,1,,,,,,,,,,,2
8800 CREEDE TRL,,,,,,2,,,,,,,2
8800 GUADALUPE RD,1,,,,,1,,,,,,,2
8800 MEADOWBROOK BL,,,,1,1,,,,,,,,2
8800 OAK GROVE RD,,,,,,2,,,,,,,2
8800 PEDERNALES TRL,,,,,2,,,,,,,,2
8800 QUARRY RIDGE TRL,,,,1,1,,,,,,,,2
8800 RACQUET CLUB DR,,,,,2,,,,,,,,2
8800 ROQUET,2,,,,,,,,,,,,2
8800 TURNBERRY CT,,1,,,,1,,,,,,,2
8900 BRANCHWOOD TR,1,1,,,,,,,,,,,2
8900 BROOK HILL LN,,,,,2,,,,,,,,2
8900 COTTONWOOD VILLAGE DR,,,,1,1,,,,,,,,2
8900 EAST FREEWAY,,,,,,1,1,,,,,,2
8900 FRIENDSWOOD DR,,,1,1,,,,,,,,,2
8900 GRAYWOLF RIDGE TRL,,,,1,,1,,,,,,,2
8900 GUADALUPE RD,,,,,1,1,,,,,,,2
8900 HAAS DR,,,,,1,1,,,,,,,2
8900 RIVERFALLS DR,1,,,,,1,,,,,,,2
8900 SUNNY HOLLOW DR,,,,,2,,,,,,,,2
900 BENTON AVE,,,,,1,1,,,,,,,2
900 CARDINAL RIDGE AV,1,,1,,,,,,,,,,2
900 JENNINGS AVE,,,,,1,1,,,,,,,2
900 JONES ST,,,,,2,,,,,,,,2
900 LARKSPUR LN,,,,,1,1,,,,,,,2
900 N BELT LINE RD,,,,,,,,,,,,2,2
900 N OAK GROVE CT,,,,,,,,,,,2,,2
900 NORTH SOUTH FW,1,1,,,,,,,,,,,2
900 NORTHEAST LOOP INTERSTATE 820,2,,,,,,,,,,,,2
900 NORTHWOOD RD,,,1,,,1,,,,,,,2
900 PINION DR,,,,,,2,,,,,,,2
900 S JENNINGS AVE,,,,,,,,,,,2,,2
900 SOUTHEAST LOOP INTERSTATE 820,,,,1,1,,,,,,,,2
900 SOUTHEAST LOOP INTERSTATE 820 820 FREEWAY,,,,,,1,,1,,,,,2
900 SWITCHYARD ST,,,,,,2,,,,,,,2
900 TERMINAL RD,,,,,,2,,,,,,,2
900 WESTFORK DR,,,1,,1,,,,,,,,2
9000 GRAYWOLF RIDGE TRL,,,,,,2,,,,,,,2
9000 STILLWATER TR,1,,1,,,,,,,,,,2
9000 TRACE RIDGE PK,,,,,,,,,,,1,1,2
9000 TROY DR,,,1,,1,,,,,,,,2
9000 WELLER LN,,,,,,2,,,,,,,2
9100 CAMP BOWIE WEST BLVD,,,,,2,,,,,,,,2
9100 CRANDALL DR,,,,,1,1,,,,,,,2
9100 CREEDE TRL,,,,,2,,,,,,,,2
9100 HWY 287 &,,,,,2,,,,,,,,2
9100 LANDMARK DR,,,,,2,,,,,,,,2
9100 NAPA VALLEY TRL,,,,,2,,,,,,,,2
9100 RUSHING RIVER DR,,,1,,,1,,,,,,,2
9100 SAINT BARTS RD,,,,1,,1,,,,,,,2
9100 TIMBER OAKS DR,,,,,2,,,,,,,,2
9200 GENERAL WORTH DR,,,,,,2,,,,,,,2
9200 OLD CLYDESDALE DR,,,,,,1,,1,,,,,2
9400 CLIFFORD ST,1,,,,1,,,,,,,,2
9400 HERON DR,,,,1,,1,,,,,,,2
9400 PASTIME CT,,,,,,2,,,,,,,2
9400 SALTBRUSH ST,,,,,1,1,,,,,,,2
9400 TRINITY BL,,,,,1,1,,,,,,,2
9400 WEST FREEWAY,,,1,,,1,,,,,,,2
9500 BELLA TERRA DR,,,,,2,,,,,,,,2
9500 DOUBLE OAK LN,,,,,,2,,,,,,,2
9500 HERON DR,,,,,1,1,,,,,,,2
9500 NAVARRO ST,1,,,,1,,,,,,,,2
9500 TITAN ST,,,,1,,1,,,,,,,2
9500 TOMAHAWK TRL,,,,1,1,,,,,,,,2
9500 WEST FREEWAY SERVICE ROAD,,1,1,,,,,,,,,,2
9600 BOWMAN DR,,,,,,2,,,,,,,2
9600 CHOLLA CACTUS TRL,,,,1,,1,,,,,,,2
9600 FOX HILL DR,,,,,,2,,,,,,,2
9600 PALO PINTO RD,,,,,1,1,,,,,,,2
9600 WESTPOINT BL,,,,,1,,,,,,1,,2
9700 LACEY LN,,1,,,,1,,,,,,,2
9700 TEHAMA RIDGE PK,,,,,,,,,,,1,1,2
9700 WATERCRESS DR,,,2,,,,,,,,,,2
9800 AMARANTH DR,,,,,,,,2,,,,,2
9800 WATERCRESS DR,,,,,2,,,,,,,,2
9800 WILLOWICK AV,2,,,,,,,,,,,,2
9900 APPLETREE WAY,,1,1,,,,,,,,,,2
9900 BISON CT,,,,,2,,,,,,,,2
9900 PILOT POINT ST,,,,,,2,,,,,,,2
9900 TRINITY BL,,,,,1,,,,,,1,,2
BEACH INTERSTATE 30 EAST FREEWAY,,,,,,,,,,,2,,2
BLEDSOE ST NORWOOD ST,,,,,,,,,,,1,1,2
BRENTWOOD STAIR RD WOODHAVEN BLVD,,,,,,,,,,,,2,2
CALUMET ST / LIBERTY ST,,,,,,,,,,,,2,2
CAMP BOWIE BLVD BRYANT IRVIN RD N,,,,,,,,,,,2,,2
COLLARD ST E LANCASTER AVE,,,,,,,,,,,2,,2
DALE EARNHARDT WAY NORTH FREEWAY SERVICE ROAD,2,,,,,,,,,,,,2
DEBBIE ST MC CLURE ST,,,,,,,,,,,,2,2
E BELKNAP ST / MAURICE AVE,,,,,,,,,,,,2,2
E BERRY ST / MISSISSIPPI AVE,,,,,,,,,,,,2,2
E HATTIE ST / TENNESSEE AVE,,,,,,,,,,,,2,2
E INTERSTATE 20 CAMPUS INTERSTATE 20,,,,1,,1,,,,,,,2
E LANCASTER AVE / TIERNEY RD,,,,,,,,,,,,2,2
E ROSEDALE ST STALCUP RD,,,,,,,,,,,,2,2
EAST FW NORTH SOUTH FW,1,1,,,,,,,,,,,2
EAST LOOP INTERSTATE 820 820 NORTH TRINITY BLVD,,,,,,,,,,,2,,2
